Season,Episode,Director,Writers,Viewers,Votes,IMDB_Rating,Verdict
1,1,Pamela Fryman,"Carter Bays,Craig Thomas",10.94,4935,"8,5",Eccellente
1,2,Pamela Fryman,"Carter Bays,Craig Thomas",10.4,3708,"8,2",Buono
1,3,Pamela Fryman,"Phil Lord,Chris Miller",10.44,3514,"8,2",Buono
1,4,Pamela Fryman,Kourtney Kang,9.84,3298,8,Buono
1,5,Pamela Fryman,Chris Harris,10.14,3412,"8,3",Buono
1,6,Pamela Fryman,Brenda Hsueh,10.89,3292,"8,1",Buono
1,7,Pamela Fryman,"Sam Johnson,Chris Marcil",10.55,3095,"7,7",Buono
1,8,Pamela Fryman,Gloria Calderon Kellett,10.35,3057,"8,2",Buono
1,9,Pamela Fryman,"Phil Lord,Chris Miller",10.29,3070,"8,1",Buono
1,10,Pamela Fryman,"Carter Bays,Craig Thomas",12.27,4667,"9,2",Eccellente
1,11,Pamela Fryman,"Sam Johnson,Chris Marcil",10.36,3190,"8,3",Buono
1,12,Pamela Fryman,Kourtney Kang,11.49,2988,"8,1",Buono
1,13,Pamela Fryman,Gloria Calderon Kellett,10.82,3384,"8,7",Eccellente
1,14,Pamela Fryman,Brenda Hsueh,10.94,2906,"8,2",Buono
1,15,Pamela Fryman,Chris Harris,9.82,3780,"9,1",Eccellente
1,16,Pamela Fryman,Maria Ferrari,10.15,2806,"7,9",Buono
1,17,Pamela Fryman,"Carter Bays,Craig Thomas",9.8,2793,"7,7",Buono
1,18,Pamela Fryman,"Carter Bays,Craig Thomas",7.65,3066,"8,5",Eccellente
1,19,Pamela Fryman,Chris Harris,7.6,3337,"8,8",Eccellente
1,20,Pamela Fryman,Ira Ungerleider,7.24,2790,"7,9",Buono
1,21,Pamela Fryman,"Carter Bays,Craig Thomas",8.07,2794,"8,1",Buono
1,22,Pamela Fryman,"Carter Bays,Craig Thomas",8.64,3455,"8,9",Eccellente
2,1,Pamela Fryman,"Carter Bays,Craig Thomas",10.48,2788,"8,2",Buono
2,2,Rob Greenberg,Chris Harris,9.14,2725,"8,2",Buono
2,3,Pamela Fryman,Stephen Lloyd,9.32,2833,"8,5",Eccellente
2,4,Pamela Fryman,Kristen Newman,9.09,3213,"8,8",Eccellente
2,5,Pamela Fryman,Brenda Hsueh,9.05,3033,"8,8",Eccellente
2,6,Pamela Fryman,Jamie Rhonheimer,9.59,2724,"8,1",Buono
2,7,Pamela Fryman,Greg Malins,8.22,3806,9,Eccellente
2,8,Pamela Fryman,Maria Ferrari,9.33,2661,8,Buono
2,9,Pamela Fryman,Kourtney Kang,8.85,5571,"9,5",Eccellente
2,10,Pamela Fryman,Kristen Newman,9.85,2725,"8,2",Buono
2,11,Pamela Fryman,Brenda Hsueh,8.81,2696,"8,1",Buono
2,12,Pamela Fryman,Gloria Calderon Kellett,8.37,2773,"8,2",Buono
2,13,Rob Greenberg,Matt Kuhn,9.42,2564,8,Buono
2,14,Rob Greenberg,"Carter Bays,Craig Thomas",10.61,2744,"8,4",Buono
2,15,Pamela Fryman,Jamie Rhonheimer,9.68,2680,"8,4",Buono
2,16,Pamela Fryman,Kourtney Kang,8.95,2811,"8,5",Eccellente
2,17,Pamela Fryman,Chris Harris,9.33,2775,"8,3",Buono
2,18,Pamela Fryman,Maria Ferrari,7.27,2561,"8,1",Buono
2,19,Pamela Fryman,"Carter Bays,Craig Thomas",9.9,2690,"8,4",Buono
2,20,Pamela Fryman,Gloria Calderon Kellett,7.24,2936,"8,9",Eccellente
2,21,Pamela Fryman,Greg Malins,7.69,2779,"8,8",Eccellente
2,22,Pamela Fryman,"Carter Bays,Craig Thomas",9.9,2832,"8,8",Eccellente
3,1,Pamela Fryman,"Carter Bays,Craig Thomas",8.12,2836,"8,3",Buono
3,2,Pamela Fryman,Chris Harris,7.88,2512,"7,7",Buono
3,3,Pamela Fryman,David Hemingson,7.96,2609,"8,1",Buono
3,4,Rob Greenberg,Kourtney Kang,7.71,2506,"7,8",Buono
3,5,Pamela Fryman,Gloria Calderon Kellett,8.5,3468,9,Eccellente
3,6,Pamela Fryman,Jonathan Groff,8.55,2483,"8,1",Buono
3,7,Pamela Fryman,Brenda Hsueh,8.77,2522,8,Buono
3,8,Pamela Fryman,Stephen Lloyd,8.58,3450,"9,1",Eccellente
3,9,Pamela Fryman,Matt Kuhn,8.06,3321,9,Eccellente
3,10,Pamela Fryman,Jamie Rhonheimer,7.91,2549,8,Buono
3,11,Pamela Fryman,"Carter Bays,Craig Thomas",8.49,2656,"8,5",Eccellente
3,12,Pamela Fryman,"Carter Bays,Craig Thomas",9.73,2570,"8,2",Buono
3,13,Pamela Fryman,"Chris Harris, Carter Bays,Craig Thomas",10.67,3072,"8,8",Eccellente
3,14,Pamela Fryman,Joe Kelly,9.5,2695,"8,7",Eccellente
3,15,Pamela Fryman,"Carter Bays,Craig Thomas",7.99,2463,8,Buono
3,16,Pamela Fryman,Kourtney Kang,8.45,2707,"8,3",Buono
3,17,Pamela Fryman,Stephen Lloyd,8.84,2481,"8,2",Buono
3,18,Pamela Fryman,Jamie Rhonheimer,8.36,2450,"8,1",Buono
3,19,Pamela Fryman,"Jonathan Groff,Chris Harris",8.93,2460,"7,8",Buono
3,20,Pamela Fryman,"Carter Bays,Craig Thomas",7.99,2667,"8,7",Eccellente
4,1,Pamela Fryman,"Carter Bays,Craig Thomas",9.79,2866,"8,6",Eccellente
4,2,Pamela Fryman,"Carter Bays,Craig Thomas",8.72,2989,"8,5",Eccellente
4,3,Pamela Fryman,Greg Malins,8.97,2454,"7,7",Buono
4,4,Michael Shea,Stephen Lloyd,9.25,2920,"8,8",Eccellente
4,5,Pamela Fryman,Chris Harris,9.45,2556,"8,3",Buono
4,6,Pamela Fryman,Jamie Rhonheimer,9.4,2442,8,Buono
4,7,Pamela Fryman,Robia Rashid,9.79,2390,"7,9",Buono
4,8,Pamela Fryman,"Carter Bays,Craig Thomas",9.99,2562,"8,1",Buono
4,9,Pamela Fryman,Joe Kelly,10.04,4075,"9,2",Eccellente
4,10,Pamela Fryman,Theresa Mulligan Rosenthal,10.49,2526,"8,3",Buono
4,11,Pamela Fryman,Chuck Tatham,11.44,2495,"8,1",Buono
4,12,Pamela Fryman,Kourtney Kang,11.76,2693,"8,6",Eccellente
4,13,Pamela Fryman,Matt Kuhn,10.69,2649,"8,5",Eccellente
4,14,Pamela Fryman,Jonathan Groff,10.3,2551,"8,4",Buono
4,15,Pamela Fryman,"Carter Bays,Craig Thomas",11.08,2604,"8,3",Buono
4,16,Pamela Fryman,"Craig Gerard,Matthew Zinman",8.51,2466,"7,8",Buono
4,17,Rob Greenberg,Chris Harris,9.29,2550,"8,4",Buono
4,18,Pamela Fryman,Jamie Rhonheimer,7.36,2352,"7,7",Buono
4,19,Pamela Fryman,Joe Kelly,9.2,2551,"8,5",Eccellente
4,20,Pamela Fryman,Kourtney Kang,9.56,2380,"7,7",Buono
4,21,Pamela Fryman,Greg Malins,8.87,2660,"8,7",Eccellente
4,22,Pamela Fryman,Stephen Lloyd,8.89,2472,"8,2",Buono
4,23,Pamela Fryman,"Carter Bays,Craig Thomas",8.7,2396,"7,7",Buono
